iter	RMSE
1200	9921.884379
1201	9918.189065
1202	9915.174076
1203	9906.078565
1204	9894.475007
1205	9889.86874
1206	9882.615571
1207	9876.385721
1208	9867.808416
1209	9863.367295
1210	9860.067935
1211	9850.877854
1212	9847.630597
1213	9841.230035
1214	9832.26683
1215	9824.920232
1216	9820.075818
1217	9813.243963
1218	9811.353167
1219	9804.876114
1220	9794.530974
1221	9784.429881
1222	9776.710522
1223	9769.963613
1224	9768.116688
1225	9762.342565
1226	9753.824727
1227	9749.726091
1228	9745.31168
1229	9741.438923
1230	9735.702886
1231	9727.996258
1232	9725.465754
1233	9718.471629
1234	9715.611744
1235	9704.27931
1236	9698.867065
1237	9694.079501
1238	9688.644563
1239	9686.513455
1240	9684.539142
1241	9684.327516
1242	9679.113813
1243	9676.24775
1244	9673.855128
1245	9662.49832
1246	9655.145007
1247	9651.579937
1248	9648.644768
1249	9645.506349
1250	9641.222261
1251	9633.576468
1252	9631.942698
1253	9623.237852
1254	9615.357784
1255	9608.204587
1256	9602.19383
1257	9601.432561
1258	9597.632514
1259	9593.203483
1260	9590.610194
1261	9587.983877
1262	9586.030168
1263	9580.79456
1264	9577.115654
1265	9572.321393
1266	9562.40971
1267	9558.069209
1268	9551.902784
1269	9546.513074
1270	9545.244459
1271	9538.669808
1272	9534.74034
1273	9527.184953
1274	9524.212148
1275	9523.318475
1276	9517.061464
1277	9513.446825
1278	9504.229675
1279	9499.004092
1280	9495.767973
1281	9489.799205
1282	9484.418574
1283	9477.998209
1284	9469.958595
1285	9467.830749
1286	9464.111096
1287	9456.262719
1288	9454.914451
1289	9453.700704
1290	9449.026528
1291	9448.462622
1292	9441.785884
1293	9440.103129
1294	9431.065491
1295	9425.564655
1296	9418.574953
1297	9417.006753
1298	9409.939704
1299	9401.97358
1300	9400.70818
1301	9398.258459
1302	9391.253983
1303	9381.878764
1304	9377.746464
1305	9371.096441
1306	9361.412876
1307	9357.341955
1308	9353.082422
1309	9351.236588
1310	9343.860622
1311	9341.981973
1312	9331.135954
1313	9325.081526
1314	9319.090957
1315	9317.29323
1316	9315.063704
1317	9313.180369
1318	9309.037697
1319	9303.979304
1320	9303.498819
1321	9301.841849
1322	9294.933637
1323	9292.394222
1324	9291.330242
1325	9287.568956
1326	9280.208734
1327	9279.56005
1328	9272.468102
1329	9270.867804
1330	9266.194995
1331	9260.65353
1332	9255.83018
1333	9248.462112
1334	9242.978707
1335	9238.743941
1336	9235.511261
1337	9232.686272
1338	9228.471299
1339	9221.60048
1340	9216.598246
1341	9208.089707
1342	9203.573623
1343	9196.776189
1344	9191.485841
1345	9187.121903
1346	9179.70354
1347	9175.741082
1348	9170.577317
1349	9162.86192
1350	9161.625449
1351	9156.723811
1352	9155.161128
1353	9149.464118
1354	9147.737114
1355	9145.07999
1356	9141.290985
1357	9139.079376
1358	9132.750949
1359	9127.879157
1360	9123.555803
1361	9118.725335
1362	9118.199559
1363	9112.805746
1364	9106.068209
1365	9095.795571
1366	9094.754637
1367	9093.546225
1368	9092.040164
1369	9089.579316
1370	9087.308795
1371	9082.196873
1372	9070.842061
1373	9067.320875
1374	9062.909056
1375	9058.221198
1376	9056.939678
1377	9052.010652
1378	9051.327378
1379	9042.91968
1380	9037.327196
1381	9032.254953
1382	9025.652037
1383	9014.853653
1384	9006.530831
1385	9003.818464
1386	9000.091711
1387	8993.522412
1388	8990.665395
1389	8989.79884
1390	8983.794275
1391	8982.785729
1392	8975.332684
1393	8971.651472
1394	8967.193509
1395	8960.103696
1396	8959.802241
1397	8956.729462
1398	8946.615679
1399	8939.74254
1400	8932.916549
1401	8925.727791
1402	8922.300843
1403	8918.351393
1404	8917.186381
1405	8913.800239
1406	8912.918391
1407	8908.018889
1408	8905.433544
1409	8902.20261
1410	8901.66271
1411	8901.326386
1412	8895.989924
1413	8876.43031
1414	8874.401642
1415	8871.902907
1416	8869.486
1417	8863.917533
1418	8863.413563
1419	8859.937984
1420	8855.00443
1421	8851.605183
1422	8851.242515
1423	8850.569264
1424	8850.063458
1425	8849.847263
1426	8842.056271
1427	8831.72048
1428	8828.582084
1429	8828.077753
1430	8826.801474
1431	8825.144842
1432	8822.93624
1433	8822.078412
1434	8821.152539
1435	8817.428731
1436	8807.843902
1437	8799.701312
1438	8799.103213
1439	8790.154438
1440	8786.04765
1441	8781.056347
1442	8777.528509
1443	8776.935526
1444	8775.164375
1445	8764.606212
1446	8763.991253
1447	8760.035455
1448	8759.213026
1449	8758.943802
1450	8758.469553
1451	8748.089399
1452	8743.504767
1453	8736.566314
1454	8736.174445
1455	8728.862412
1456	8724.829125
1457	8720.538792
1458	8716.469607
1459	8707.2132
1460	8706.96386
1461	8705.342896
1462	8702.85926
1463	8695.402677
1464	8691.957629
1465	8687.358674
1466	8684.597077
1467	8679.515312
1468	8674.556361
1469	8673.142703
1470	8665.305872
1471	8661.632767
1472	8657.201319
1473	8652.365639
1474	8650.644227
1475	8648.312999
1476	8645.058853
1477	8633.607845
1478	8625.362265
1479	8622.687512
1480	8618.919591
1481	8615.125047
1482	8613.064622
1483	8611.602316
1484	8609.705619
1485	8607.160892
1486	8600.079542
1487	8595.337732
1488	8588.880642
1489	8582.855034
1490	8570.198228
1491	8564.597548
1492	8559.312965
1493	8556.342736
1494	8555.344023
1495	8548.88917
1496	8540.368151
1497	8534.87458
1498	8530.330913
1499	8526.311067
1500	8518.044354
1501	8517.072011
1502	8513.881471
1503	8509.196511
1504	8508.181887
1505	8507.284008
1506	8505.623071
1507	8501.445925
1508	8500.751201
1509	8492.659441
1510	8491.686948
1511	8483.620505
1512	8479.691142
1513	8474.244121
1514	8471.378002
1515	8471.221304
1516	8459.950244
1517	8453.195082
1518	8452.384456
1519	8451.096765
1520	8450.677273
1521	8445.500987
1522	8442.832102
1523	8433.913135
1524	8418.360453
1525	8413.333171
1526	8410.133867
1527	8406.013489
1528	8402.679667
1529	8399.686277
1530	8396.1583
1531	8387.744384
1532	8382.335148
1533	8381.870452
1534	8380.700069
1535	8378.253005
1536	8368.941719
1537	8366.631914
1538	8363.613399
1539	8360.143014
1540	8358.268814
1541	8355.752312
1542	8352.229185
1543	8348.372949
1544	8344.969037
1545	8339.746606
1546	8337.921769
1547	8328.049329
1548	8322.158264
1549	8316.939971
1550	8303.303525
1551	8298.187616
1552	8293.8444
1553	8284.569424
1554	8280.553669
1555	8277.83527
1556	8276.073626
1557	8274.419354
1558	8274.253257
1559	8266.555495
1560	8264.907245
1561	8263.255804
1562	8258.956503
1563	8247.036628
1564	8246.471621
1565	8245.603783
1566	8239.458352
1567	8234.624833
1568	8231.314067
1569	8229.292191
1570	8228.008496
1571	8227.465648
1572	8225.850974
1573	8217.257458
1574	8207.934956
1575	8207.515031
1576	8195.862197
1577	8194.108266
1578	8194.055027
1579	8188.897973
1580	8180.300982
1581	8171.108656
1582	8169.778467
1583	8169.411466
1584	8162.995093
1585	8159.178228
1586	8152.975123
1587	8150.322141
1588	8149.856677
1589	8144.125999
1590	8137.371242
1591	8131.700576
1592	8123.481581
1593	8123.016683
1594	8121.163211
1595	8115.963211
1596	8111.973684
1597	8106.449577
1598	8100.926369
1599	8096.257588
1600	8092.600249
1601	8089.85508
1602	8087.742052
1603	8085.615725
1604	8081.436773
1605	8075.30032
1606	8070.167342
1607	8062.617516
1608	8057.731865
1609	8053.313184
1610	8048.435872
1611	8043.311117
1612	8040.699323
1613	8035.440688
1614	8030.007105
1615	8027.364008
1616	8023.701205
1617	8019.611349
1618	8017.861419
1619	8016.935037
1620	8012.202854
1621	8006.093909
1622	8003.281583
1623	8002.920644
1624	7995.726698
1625	7989.6146
1626	7981.377899
1627	7974.23206
1628	7969.913217
1629	7969.67063
1630	7963.383459
1631	7961.678548
1632	7955.812163
1633	7953.908927
1634	7950.17634
1635	7949.694622
1636	7947.845586
1637	7947.329215
1638	7946.985662
1639	7946.789184
1640	7935.774364
1641	7935.376497
1642	7930.731352
1643	7925.973316
1644	7922.331549
1645	7915.186681
1646	7910.142429
1647	7908.915373
1648	7900.10702
1649	7898.402017
1650	7894.871857
1651	7884.495794
1652	7883.962709
1653	7878.04169
1654	7874.773346
1655	7867.939497
1656	7867.031267
1657	7862.930519
1658	7858.610644
1659	7855.448519
1660	7855.08867
1661	7851.004294
1662	7842.320956
